experiment	scope	delta_ignore_catch	compile_ok	web_check_ok	decision
1	paths.ts	-2	1	1	KEEP
2	agents.ts	0	1	1	KEEP
3	extension.ts(deactivate)	-6	1	1	KEEP
4	extension.ts(metrics)	-1	1	1	KEEP
